% Device,CC1320002
% File name,CC1320002_20221214_190759
% Cast time (UTC),2022-12-14 19:07:59
% Cast time (local),2022-12-14 14:07:59
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2587819
% Start longitude,-77.917135
% Start altitude,-40.959999084472656
% Start GPS horizontal error(Meter),1.1499999761581421
% Start GPS vertical error(Meter),1.5800000429153442
% Start GPS number of satellites,9
% End latitude,34.2583858
% End longitude,-77.91678
% End altitude,-30.030000686645508
% End GPS horizontal error(Meter),44.709999084472656
% End GPS vertical error(Meter),63.340000152587891
% End GPS number of satellites,8
% Cast duration (Seconds),32
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15225838857993054,12.925531191536749,10636.584920669086,14022.987399900529,8.0236833882527954,1468.1073065195985,1005.5947514919041
0.44999999999999996,0.45677669420348543,12.985927448279396,10771.936506237931,14178.851524560914,8.1209600081736184,1468.4452124880386,1005.662361939187
0.74999999999999989,0.76126793356027267,12.990557212364651,10908.449549711355,14356.790673974401,8.2310188306315091,1468.5970627345855,1005.7478800558389
1.05,1.0657381159686894,12.99541391765524,10994.702915663898,14468.460508802373,8.300178183016687,1468.7012868393626,1005.8018499718542
1.35,1.3701992358849717,12.993459310090287,11001.561549618862,14478.230923680423,8.30615725994961,1468.7061918084248,1005.8081364888982
1.65,1.6746575706282727,12.996705790300663,11020.91485059701,14502.460965195429,8.3211838402512335,1468.7405329261685,1005.8206349964908
1.9500000000000002,1.9791132975627594,12.996567744915161,11026.813369616682,14510.275564419013,8.3259858689692532,1468.7505854143751,1005.8257498305069
2.25,2.2835673148116618,12.998752560723185,11036.183554391389,14521.770861760826,8.3331096107934926,1468.771748580871,1005.832314426514
2.55,2.5880189674445666,12.999923110946495,11049.630439381092,14539.016838428897,8.3437771355875352,1468.7934543011315,1005.8417568607495
2.85,2.8924674696206134,12.996984677052836,11064.704098546079,14559.976525227123,8.3566714471315127,1468.803003735103,1005.853514259656
3.15,3.1969131012880956,12.997835641324755,11075.043054442109,14573.255117717,8.3648778944980151,1468.8206460272843,1005.8611072308217
3.4499999999999997,3.5013559992909045,12.998773507873729,11090.617303011066,14593.388521754496,8.3773335232991428,1468.8436301023482,1005.8719608143917
3.75,3.8057959183440713,12.997593136558544,11102.516431730574,14609.499596236969,8.3872596361410459,1468.8559953008717,1005.88117492168
4.05,4.1102336430683781,12.99632997026522,11108.728781150619,14618.160214215393,8.3925682962942858,1468.8625974290842,1005.8868439996771
4.35,4.4146702131545226,12.995593432507906,11109.911757459158,14620.000312922926,8.3936603210217573,1468.8661045619895,1005.8891878461737
4.6499999999999995,4.7191060649890613,12.99223518371582,11110.48046875,14622.041076319933,8.3948286664311844,1468.8602639392734,1005.8919732589704
4.9624168932437893,5.0361422560223854,12.997165755400365,11108.416494389441,14617.427739081635,8.3920241102434829,1468.8797613549191,1005.8905455765103
