% Device,CC1320002
% File name,CC1320002_20231020_184810
% Cast time (UTC),2023-10-20 18:48:10
% Cast time (local),2023-10-20 14:48:10
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),74.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14945502399171437,21.593046164708547,50094.212373652408,53757.176764711927,35.436777032192893,1526.2761506432794,1024.6654452537214
0.44999999999999996,0.44836434291818966,21.594506551296924,50102.357021895165,53764.231805670453,35.441943947455179,1526.2907393167975,1024.6702743362569
0.74999999999999989,0.74727208771144216,21.59544586081633,50112.10690601106,53773.610253348823,35.44881642809392,1526.3058337829102,1024.6765452375084
1.05,1.0461792394139826,21.591773635478312,50101.590092420025,53766.562402626681,35.443377438653407,1526.2951139412314,1024.6747308286808
1.35,1.3450869827557535,21.5979460472812,50105.734321892523,53763.887222681551,35.441479860441447,1526.3143659185835,1024.6728791042574
1.65,1.6439947384858862,21.598532346331037,50108.153641768855,53765.806688238059,35.44281520507915,1526.3224055989026,1024.6750361052702
1.9500000000000002,1.9429026872403867,21.597183906310516,50099.001659259084,53757.542258336267,35.4365463399248,1526.3169198840099,1024.6719459234716
2.25,2.2418105482400703,21.599023171004358,50106.478516742776,53763.442994145087,35.440869628345737,1526.3315782736447,1024.6760279749262
2.55,2.5407173937928627,21.596111351819182,50105.507019717763,53765.760238446994,35.442392515905212,1526.3305668874598,1024.6792981634503
2.85,2.8396238746297904,21.59575820712713,50102.32671070566,53762.75506451806,35.440050553937859,1526.3320556144786,1024.6789187310073
3.15,3.1385305117441087,21.597225157766111,50101.996696685492,53760.708418852344,35.438474532725209,1526.3392083610113,1024.6786169099735
3.4499999999999997,3.4374369586262903,21.596538802076612,50102.24695120933,53761.768834401584,35.439134434210715,1526.3431331254321,1024.680613206514
3.75,3.7363434431949254,21.596905875644023,50097.687629345128,53756.453017549975,35.43510277248329,1526.3446605421691,1024.6787487341364
4.05,4.0352500429300111,21.597524535958073,50099.01102576626,53757.1593391256,35.435540331117743,1526.3517936338719,1024.6802138133035
4.35,4.3341557958843486,21.5922767184233,50096.962184594733,53761.015465451193,35.438131557070705,1526.3457789912604,1024.6849446441029
4.6499999999999995,4.6330601274474974,21.595203916901184,50108.2532216987,53769.754190863459,35.444590808915983,1526.3656787875113,1024.690349433992
4.9499999999999993,4.9319645175091775,21.591619836934754,50091.912761238164,53756.354615437311,35.434449104935517,1526.3499936984397,1024.6849337715469
5.2499999999999991,5.2308687786495591,21.579114537063035,50082.252290661243,53760.416861092068,35.436969655169563,1526.3246818205923,1024.6916235715444
5.55,5.5297717531117279,21.563807229719817,50061.517338145808,53755.824873995211,35.432991580873328,1526.2847514614875,1024.6941458365664
5.85,5.8286724537992374,21.551315500366172,50063.064519645122,53771.911686632491,35.444418084695059,1526.2692973965181,1024.7076037790735
6.1499999999999995,6.1275709781396648,21.542259851923628,50050.574075446028,53768.955605813149,35.441842923577482,1526.2474602315963,1024.7094580983226
6.5856037472272373,6.5615742203164764,21.537595326460472,50047.355312018612,53770.886700244424,35.442976614751181,1526.24362527943,1024.7135061769302
