% Device,CC1320002,,
% File name,CC1320002_20250321_150719,,
% Cast time (UTC),3/21/25 15:07,,
% Cast time (local),3/21/25 11:07,,
% Sample type,Cast,,
% Cast data,Raw,,
% Location source,GPS,,
% Default latitude,32,,
% Default altitude,0,,
% Start latitude,34.1363415,,
% Start longitude,-77.9729747,,
% Start altitude,-29.73999977,,
% Start GPS horizontal error(Meter),1.9700000286102295,,
% Start GPS vertical error(Meter),2.7300000190734863,,
% Start GPS number of satellites,10,,
% End latitude,34.1363629,,
% End longitude,-77.97298,,
% End altitude,-2.619999886,,
% End GPS horizontal error(Meter),51.919998168945312,,
% End GPS vertical error(Meter),73.629997253417969,,
% End GPS number of satellites,6,,
% Cast duration (Seconds),23.8,,
% Samples per second,5,,
% Electronics calibration date,0001-01-01,,
% Conductivity calibration date,5/22/13,,
% Temperature calibration date,5/22/13,,
% Pressure calibration date,5/22/13,,
% ,,,
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,12.969796180725098,0
0.4,6.5464084428867864E-06,12.978845596313477,0
0.6,-0.000244399,12.988954544067383,0
0.8,-0.001265914,12.990917205810547,0
1,-0.001259367,12.99765682220459,0
1.2,3.3685716532616539E-05,13.007556915283203,0
1.4,-0.001246275,13.005230903625488,0
1.6,-0.000471067,12.999139785766602,0
1.8,0.000823894,12.981695175170898,0
2,0.001859455,12.961421966552734,0
2.2,0.000836033,12.96174430847168,0
2.4,0.001873501,12.957310676574707,0
2.6,-0.000691058,12.942425727844238,0
2.8,0.001113164,12.935816764831543,0
3,0.001378156,12.939377784729004,0
3.2,0.001383749,12.935019493103027,0
3.4,0.000876265,12.941610336303711,0
3.6,0.003455825,13.485086441040039,443.48171997070312
3.8,0.000889358,15.128713607788086,21.182601928710938
4,-0.000647141,15.715075492858887,10299.63379
4.2,0.000901497,15.999039649963379,207.18876647949219
4.4,0.003482964,16.154373168945312,207.55648803710938
4.6,0.001429574,16.256978988647461,208.04820251464844
4.8,0.016105538707668288,16.334609985351562,208.58499145507813
5,0.047251458895408049,16.423080444335938,208.63677978515625
5.2,0.084829912347307967,16.440807342529297,208.09736633300781
5.4,0.13321635682704169,16.468128204345703,207.28370666503906
5.6,0.20321687601380489,16.489906311035156,206.2325439453125
5.8,0.27938766802771653,16.509937286376953,205.25819396972656
6,0.3452635457960227,16.521060943603516,204.51736450195313
6.2,0.41010850162829371,16.517391204833984,203.21697998046875
6.4,0.45822982464806472,16.515972137451172,203.71174621582031
6.6,0.51432195760435917,16.518062591552734,203.44056701660156
6.8,0.58018925230381768,16.515815734863281,203.28170776367188
7,0.6344789408021061,16.51868248,203.2062988
7.2,0.69571042464951383,16.523674011230469,203.34132385253906
7.4,0.76851570000082781,16.530084609985352,203.4281005859375
7.6,0.84363363556942694,16.533790588378906,203.38690185546875
7.8,0.91026196237337764,16.538089752197266,203.09942626953125
8,0.97019931017342209,16.537019729614258,203.06072998046875
8.2,1.023703171,16.535270690917969,203.02056884765625
8.4,1.0684637457637471,16.518161773681641,202.96495056152344
8.6,1.1129620600554908,16.513143539428711,202.9232177734375
8.8,1.1677495665469415,16.511070251464844,202.87376403808594
9,1.2292194689734508,16.511608123779297,202.8658447265625
9.2,1.2842606528330656,16.515954971313477,202.88124084472656
9.4,1.3518979670637741,16.510231018066406,202.79243469238281
9.6,1.4028192778765138,16.512763977050781,202.71614074707031
9.8,1.447056285405564,16.488210678100586,202.72187805175781
10,1.4946311530420342,16.491077423095703,202.67538452148438
10.2,1.5419504359617076,16.483367919921875,202.63484191894531
10.4,1.5823250625093106,16.48504638671875,202.68464660644531
10.6,1.6083001605534957,16.464532852172852,202.75189208984375
