% Device,CC1320002,,
% File name,CC1320002_20250321_150939,,
% Cast time (UTC),3/21/25 15:09,,
% Cast time (local),3/21/25 11:09,,
% Sample type,Point measurement,,
% Cast data,Raw,,
% Location source,GPS,,
% Default latitude,32,,
% Default altitude,0,,
% Start latitude,34.1361938,,
% Start longitude,-77.9730497,,
% Start altitude,-34.83000183,,
% Start GPS horizontal error(Meter),3.4200000762939453,,
% Start GPS vertical error(Meter),4.940000057220459,,
% Start GPS number of satellites,10,,
% End latitude,,,
% End longitude,,,
% End altitude,,,
% End GPS horizontal error(Meter),,,
% End GPS vertical error(Meter),,,
% End GPS number of satellites,,,
% Cast duration (Seconds),15.4,,
% Samples per second,5,,
% Electronics calibration date,0001-01-01,,
% Conductivity calibration date,5/22/13,,
% Temperature calibration date,5/22/13,,
% Pressure calibration date,5/22/13,,
% ,,,
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.6,0,15.646938323974609,0.2659984827041626
0.8,-0.000253046,15.567045211791992,5.6629524230957031
1,-0.000507999,15.461906433105469,8.1907444000244141
1.2,0.000782,15.400627136230469,5.9843029975891113
1.4,0.001299523,15.372838020324707,7.1661953926086426
1.6,0.001045523,15.180313110351563,2.8509831428527832
1.8,0.0018234,14.994266510009766,1.884973406791687
2,0.002338061,15.016525268554688,1.8313988447189331
2.2,0.00337343,15.006731033325195,7.8953633308410645
2.4,0.030913314303836259,15.899434089660645,170.91287231445313
2.6,0.11352312242662599,16.26147461,202.61317443847656
2.8,0.17888859156015791,16.381172180175781,202.7717285
3,0.23859114260286951,16.448619842529297,202.72171020507813
3.2,0.30858193217097174,16.481830596923828,202.74064636230469
3.4,0.31013037707354485,16.502025604248047,202.68191528320313
3.6,0.29006188624613927,16.497035980224609,202.80703735351563
3.8,0.23731765231570634,16.497814178466797,202.74813842773438
4,0.18199849773097654,16.516904830932617,202.71389770507813
4.2,0.15832702533618814,16.514514923095703,202.70132446289063
4.4,0.19126852138622397,16.516706466674805,202.67657470703125
4.6,0.2334740097458301,16.523029327392578,202.6577148
4.8,0.2908562711767253,16.532688140869141,202.5714111328125
5,0.29883629566914394,16.532215118408203,202.54403686523438
5.2,0.25483916256878913,16.529422760009766,202.51248168945313
5.4,0.20518101872624506,16.530097961425781,202.52725219726563
5.6,0.16169696240811682,16.532733917236328,202.51400756835938
5.8,0.18280049916860186,16.536209106445312,202.5196533203125
6,0.23555457914197753,16.535110473632812,202.45652770996094
6.2,0.30709127477697429,16.536584854125977,202.49366760253906
6.4,0.38274212141294761,16.538234710693359,202.49925231933594
6.6,0.4231394432686475,16.536773681640625,202.46644592285156
6.8,0.424172904,16.536579132080078,202.51576232910156
7,0.41722792548102383,16.536655426025391,202.55279541015625
7.2,0.41491589675078444,16.538217544555664,202.48880004882813
7.4,0.41286136008597651,16.536401748657227,202.5400391
7.6,0.41903989379470374,16.536796569824219,202.47758483886719
7.8,0.41595634254249347,16.537849426269531,202.50521850585938
8,0.36990499496459961,16.536338806152344,202.57151794433594
8.2,0.31458774772850262,16.538703918457031,202.57382202148438
8.4,0.30095465118820641,16.545553207397461,202.58705139160156
8.6,0.28217362068794927,16.545284271240234,202.61457824707031
8.8,0.25232901444306322,16.556209564208984,202.59597778320313
9,0.21630936699944492,16.553226470947266,202.61019897460938
9.2,0.20782038972184402,16.553169250488281,202.59764099121094
9.4,0.20293534768594235,16.554502487182617,202.55551147460938
9.6,0.21091537217836098,16.554542541503906,202.55831909179688
9.8,0.27499051996179524,16.554847717285156,202.59107971191406
10,0.34086429750597169,16.552820205688477,202.54104614257813
10.2,0.40750769,16.543270111083984,202.56816101074219
10.4,0.44842094988436365,16.543743133544922,202.52894592285156
10.6,0.42295180140314947,16.539417266845703,202.50735473632813
10.8,0.40391423251177727,16.539009094238281,202.53030395507813
11,0.36789744609110997,16.537590026855469,202.4996337890625
11.2,0.36275491198977861,16.536518096923828,202.51960754394531
11.4,0.39260650325465818,16.538370132446289,202.50320434570313
11.6,0.37279645816699869,16.535942077636719,202.49092102050781
11.8,0.31748111827953451,16.53565788269043,202.50775146484375
12,0.26087641071628909,16.536298751831055,202.57318115234375
12.2,0.21173229733028975,16.537723541259766,202.62689208984375
12.4,0.15769678837544277,16.544658660888672,202.66177368164063
12.6,0.066604356507998119,16.552757263183594,202.66053771972656
12.8,0.00201358,16.556407928466797,175.65730285644531
13,-0.000299402,16.554847717285156,19.963085174560547
13.2,-3.94E-05,16.528100967407227,11.127481460571289
13.4,0.000221613,16.533666610717773,9.534301758
13.6,0.000483552,16.523611068725586,7.5410146713256836
13.8,0.002290442,16.519498825073242,6.9132866859436035
14,0.001263966,16.48724365234375,5.3358936309814453
14.2,0.000237491,16.403587341308594,5.4030365943908691
14.4,-0.000274001,16.314929962158203,4.8865318298339844
14.6,0.001272537,16.123098373413086,6.6216025352478027
14.8,-0.00026797,16.036880493164062,4.8449277877807617
15,0.000249553,16.053958892822266,4.6700544357299805
15.2,0.00128206,16.008697509765625,3.5243210792541504
15.4,0,15.951264381408691,3.3032140731811523
