% Device,CC1320002
% File name,CC1320002_20240405_174353
% Cast time (UTC),2024-04-05 17:43:53
% Cast time (local),2024-04-05 13:43:53
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2581078
% Start longitude,-77.8982056
% Start altitude,-35.25
% Start GPS horizontal error(Meter),1.4700000286102295
% Start GPS vertical error(Meter),2.1600000858306885
% Start GPS number of satellites,10
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),56.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
2.8,0,17.914703369140625,159.3775634765625
3,0.015106485850775897,17.918889999389648,151.39073181152344
3.2,0.029182049765514861,17.680335998535156,162.66555786132813
3.4,0.028845687410724352,17.486858367919922,133.4404296875
3.6,0.035204118757105718,17.450996398925781,177.23260498046875
3.8,0.038212292229951927,17.371971130371094,177.06304931640625
4,0.039163390202308079,17.356388092041016,176.85101318359375
4.2,0.053240861465681633,17.346492767333984,176.490966796875
4.4,0.082242382106496592,17.3243350982666,176.24899291992188
4.6,0.084736525122799833,17.316909790039062,176.48028564453125
4.8,0.08723257548773411,17.3029842376709,176.28182983398438
5,0.10619762762268969,17.308172225952148,176.13191223144531
5.2,0.15192468842463747,17.3077392578125,175.56729125976563
5.4,0.17423427638722977,17.304401397705078,175.48126220703125
5.6,0.18522088919112889,17.309650421142578,175.61090087890625
5.8,0.19029090653604541,17.309867858886719,175.59228515625
6,0.22006204235020022,17.308284759521484,175.25119018554688
6.2,0.24520118200956809,17.307281494140625,175.14279174804688
6.4,0.24332272828514867,17.307167053222656,175.60552978515625
6.6,0.25765483059100269,17.283916473388672,175.66641235351563
6.8,0.30389210715222781,17.275539398193359,175.12806701660156
7,0.33880736222907615,17.288951873779297,175.11697387695313
7.2,0.34953552929323095,17.292255401611328,175.40142822265625
7.4,0.37312876288570607,17.273918151855469,175.5194091796875
7.6,0.39646355073843509,17.267387390136719,175.53573608398438
7.8,0.4226307513108889,17.260356903076172,175.5216064453125
8,0.43516040915873511,17.255336761474609,175.44882202148438
8.2,0.44022851915501882,17.228084564208984,175.10906982421875
8.4,0.44658313580413278,17.236549377441406,174.991943359375
8.6,0.47840848609582665,17.229574203491211,175.29248046875
8.8,0.52515407106769629,17.227779388427734,175.24078369140625
9,0.54848790524610891,17.244297027587891,175.28250122070313
9.2,0.55381159995918772,17.246932983398438,175.28048706054688
9.4,0.58615002703310815,17.249660491943359,175.33233642578125
9.6,0.62157263684628639,17.252159118652344,175.248046875
9.8,0.64645046974296072,17.263412475585938,175.33226013183594
10,0.65640616061082468,17.255064010620117,175.26432800292969
10.2,0.706491513038749,17.250223159790039,175.2041015625
10.4,0.74937280968054054,17.264293670654297,174.96293640136719
10.6,0.76138462237457816,17.263511657714844,175.29251098632813
10.8,0.76748174695826243,17.245391845703125,175.053466796875
11,0.80161498909565942,17.236608505249023,175.11624145507813
11.2,0.81980184298842751,17.234390258789062,175.21138000488281
11.4,0.84235938627328366,17.233737945556641,175.09263610839844
11.6,0.87674916680179393,17.234748840332031,174.9217529296875
11.8,0.92091410907346827,17.243003845214844,174.06793212890625
12,0.956845027297291,17.275661468505859,173.93080139160156
12.2,0.97477343545031125,17.278575897216797,173.826904296875
12.4,1.0240777286130989,17.258522033691406,173.38519287109375
12.6,1.0445753353745193,17.205684661865234,173.41966247558594
12.8,1.0568427327853538,17.178447723388672,173.50579833984375
13,1.0626823653036084,17.150745391845703,173.66612243652344
13.2,1.088065645587978,17.146093368530273,173.5401611328125
13.4,1.1283643921809414,17.147192001342773,173.30795288085938
13.6,1.160693282511696,17.148099899291992,173.06694030761719
13.8,1.1649889163116907,17.145896911621094,173.2447509765625
14,1.178025928895865,17.141939163208008,173.28720092773438
14.2,1.2208957814458596,17.145231246948242,172.97369384765625
14.4,1.2714799055412627,17.124582290649414,172.21484375
14.6,1.29583417123823,17.116363525390625,172.21913146972656
14.8,1.3147839645841231,17.079715728759766,172.45335388183594
15,1.3447944726516958,17.067602157592773,172.30859375
15.2,1.4108033251406535,17.057537078857422,172.11361694335938
15.4,1.4580400523854724,17.050029754638672,172.22543334960938
15.6,1.4903603596473811,17.041213989257812,172.25669860839844
15.8,1.5291103391505008,17.043075561523438,172.29052734375
16,1.5735146536755913,17.031600952148438,172.3883056640625
16.2,1.589634895324707,17.031333923339844,172.27745056152344
16.4,1.5910990700792915,17.011749267578125,172.31419372558594
16.6,1.6000219316624875,17.006446838378906,172.34164428710938
16.8,1.6408251719688298,17.007553100585938,172.35891723632813
17,1.6826555195139417,17.010246276855469,172.3250732421875
17.2,1.6992897916196004,17.019632339477539,172.31440734863281
17.4,1.7244089041183237,17.026155471801758,172.33697509765625
17.6,1.7662363906404863,17.031803131103516,172.23269653320313
17.8,1.8168071632954614,17.030328750610352,171.99258422851563
18,1.85606163651196,17.034782409667969,171.7489013671875
