% Device,CC1320002
% File name,CC1320002_20240405_182630
% Cast time (UTC),2024-04-05 18:26:30
% Cast time (local),2024-04-05 14:26:30
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2670926
% Start longitude,-77.9463302
% Start altitude,-31.590000152587891
% Start GPS horizontal error(Meter),4.3600001335144043
% Start GPS vertical error(Meter),6.2100000381469727
% Start GPS number of satellites,9
% End latitude,34.2670335
% End longitude,-77.9464947
% End altitude,-96.3499984741211
% End GPS horizontal error(Meter),56.270000457763672
% End GPS vertical error(Meter),101.41999816894531
% End GPS number of satellites,5
% Cast duration (Seconds),28.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,15.563874244689941,0
0.4,-0.0027697455715127717,15.568820953369141,206.35905456542969
0.6,-0.00039537188033023085,15.57383918762207,199.42926025390625
0.8,-0.0034235631915890963,15.577357292175293,193.92431640625
1,-0.0038758801742346805,15.581907272338867,195.63911437988281
1.2,-0.005101627027483957,15.581968307495117,210.48342895507813
1.4,-0.0040166210120826662,15.581520080566406,201.66726684570313
1.6,-0.0062704287784196566,15.579349517822266,194.65966796875
1.8,-0.004411992892412897,15.578968048095703,196.885986328125
2,-0.0048643098750584812,15.576040267944336,200.46871948242188
2.2,-0.0048064110984267217,15.5783052444458,199.31561279296875
2.4,-0.0037147293628105871,15.581497192382813,151.01821899414063
2.6,-0.0059733055007296088,15.58101749420166,104.0806884765625
2.8,-0.0035960707865978492,15.583430290222168,0
3,0.0016097619499966243,15.574080467224121,153.92044067382813
3.2,0.0026995363369799463,15.551877975463867,47.940399169921875
3.4,-0.0054775426085562628,15.536797523498535,0
3.6,-0.001554401827529972,15.534468650817871,0
3.8,-0.003039548094843525,15.538568496704102,0
4,-0.0011792048602039529,15.559795379638672,0
4.2,-0.0034349199751737558,15.577771186828613,46.260543823242188
4.4,0.045777260417668941,16.482326507568359,180.405029296875
4.6,0.069770477187464763,17.010360717773438,198.4859619140625
4.8,0.079097136645250643,17.419609069824219,199.2730712890625
5,0.093308515951667559,17.934261322021484,214.27204895019531
5.2,0.0995433632756626,18.027626037597656,214.41355895996094
5.4,0.094459050138231859,18.178966522216797,214.4307861328125
5.6,0.083708957887031588,18.242021560668945,214.08798217773438
