% Device,CC1320002
% File name,CC1320002_20240405_175958
% Cast time (UTC),2024-04-05 17:59:58
% Cast time (local),2024-04-05 13:59:58
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2603429
% Start longitude,-77.9175971
% Start altitude,-28.040000915527344
% Start GPS horizontal error(Meter),3.9900000095367432
% Start GPS vertical error(Meter),6.8499999046325684
% Start GPS number of satellites,7
% End latitude,34.2610667
% End longitude,-77.9180276
% End altitude,-132.74000549316406
% End GPS horizontal error(Meter),40.9900016784668
% End GPS vertical error(Meter),63.319999694824219
% End GPS number of satellites,6
% Cast duration (Seconds),89
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
6,0,15.933595657348633,33.887657165527344
6.2,0.056188946459666766,15.937273025512695,212.4171142578125
6.4,0.045209657140524939,15.974735260009766,212.59024047851563
6.6,0.024708883446383112,16.058300018310547,217.10842895507813
6.8,0.019132159129682691,16.088123321533203,163.57176208496094
7,0.016131309141595551,16.103054046630859,147.38516235351563
7.2,0.013384136521672474,16.121397018432617,102.45582580566406
7.4,0.0093552256204993967,16.12061882019043,9.3007316589355469
7.6,0.0091829736548731944,16.138330459594727,9.4243679046630859
7.8,0.013129641061805586,16.141071319580078,4.31851053237915
8,0.013990218380847352,16.143459320068359,5.8870177268981934
8.2,0.016133487655455525,16.153430938720703,64.749580383300781
8.4,0.032688683199594948,16.175315856933594,203.45303344726563
8.6,0.067516278646078121,16.454273223876953,213.0618896484375
8.8,0.076608018990022231,17.166774749755859,213.09130859375
9,0.10603114208543119,17.47978401184082,213.05729675292969
9.2,0.14265927464128936,17.633552551269531,213.07537841796875
9.4,0.15380999783435456,17.859703063964844,212.96511840820313
9.6,0.14025674153523227,18.050399780273438,212.89956665039063
9.8,0.15526984570974278,18.109745025634766,212.99467468261719
10,0.18571912236960486,18.138692855834961,212.88217163085938
10.2,0.22105788724968178,18.138973236083984,212.806884765625
10.4,0.23220765676843058,18.179897308349609,212.85540771484375
10.6,0.26883006727839032,18.1814022064209,212.84921264648438
10.8,0.30365480170192427,18.199008941650391,212.85543823242188
11,0.33744670684079026,18.20036506652832,212.84652709960938
11.2,0.36171998862760546,18.225841522216797,212.88894653320313
11.4,0.37801387740904957,18.21893310546875,212.90115356445313
11.6,0.4074331858071929,18.217063903808594,212.88192749023438
11.8,0.4311867150915667,18.207347869873047,212.86439514160156
12,0.43976537865328424,18.217441558837891,212.77018737792969
12.2,0.46840839615787289,18.206935882568359,212.71865844726563
12.4,0.509914572842149,18.20097541809082,212.76287841796875
12.6,0.55090767274419861,18.187185287475586,212.68994140625
12.8,0.58263678033667787,18.195671081542969,212.71038818359375
13,0.58889801530953,18.193443298339844,212.53273010253906
13.2,0.61753817179116943,18.1929931640625,212.51815795898438
13.4,0.66187199282359011,18.183971405029297,212.5804443359375
13.6,0.70286032435405765,18.168506622314453,212.51548767089844
13.8,0.72969899005200567,18.180679321289062,212.556396484375
14,0.73904536143843025,18.191600799560547,212.49246215820313
14.2,0.75070820773940561,18.198783874511719,212.43496704101563
14.4,0.800182333337256,18.195127487182617,212.4747314453125
14.6,0.84425389393266492,18.187328338623047,212.53620910644531
14.8,0.85334277325365981,18.191341400146484,212.4473876953125
15,0.88532365086567033,18.200202941894531,212.4139404296875
15.2,0.92785121274281757,18.196174621582031,212.41310119628906
15.4,0.94619836232748433,18.199542999267578,212.42431640625
15.6,0.98434855909232688,18.205852508544922,212.43069458007813
15.8,1.0307337335793374,18.198703765869141,212.37158203125
16,1.0663118707128323,18.196413040161133,212.38726806640625
16.2,1.0995744866060928,18.19786262512207,212.44371032714844
16.4,1.1379802680877322,18.200113296508789,212.41761779785156
16.6,1.1823007376797232,18.195838928222656,212.3564453125
16.8,1.2381921377526712,18.195236206054688,212.39329528808594
17,1.2781390569296232,18.195072174072266,212.30140686035156
17.2,1.3306830601519852,18.171197891235352,212.25286865234375
17.4,1.3701140415237614,18.166694641113281,212.25834655761719
17.6,1.4177714175488578,18.163955688476562,212.10556030273438
17.8,1.4533419252878215,18.145431518554688,212.18377685546875
18,1.4894264634833281,18.148017883300781,212.13925170898438
18.2,1.5316812745059831,18.144638061523438,212.03839111328125
18.4,1.5579935119812749,18.144432067871094,212.17465209960938
18.6,1.5670776229306878,18.134269714355469,212.03079223632813
18.8,1.611645094170628,18.125589370727539,212.02145385742188
19,1.6526124448661346,18.127862930297852,211.99583435058594
19.2,1.6696664120777545,18.129814147949219,211.87876892089844
19.4,1.7006058773362494,18.14105224609375,211.63002014160156
19.6,1.72125805774367,18.150470733642578,211.56196594238281
19.8,1.7401135157389813,18.172853469848633,211.66252136230469
20,1.7764498239540192,18.169410705566406,211.61441040039063
20.2,1.8204965890172016,18.169204711914062,211.66603088378906
20.4,1.8504013176423957,18.161636352539062,211.69564819335938
20.6,1.8718269279204218,18.164695739746094,211.55003356933594
20.8,1.8863088355006941,18.174619674682617,211.62655639648438
21,1.9244409124535249,18.172458648681641,211.57943725585938
21.2,1.9535741185567463,18.186695098876953,211.61705017089844
21.4,1.9814246327044014,18.179752349853516,211.61148071289063
21.6,2.0028454746108455,18.182527542114258,211.81608581542969
21.8,2.0263233920177779,18.197273254394531,211.98416137695313
22,2.0526280000985384,18.185110092163086,211.90798950195313
22.2,2.0745638261358419,18.190574645996094,212.10862731933594
