%
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. This site/dataset was established on 07/01/2021. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_S Wind speed (m/s) @ 0 m (height)
% MSNB_S Rain (day) (m) @ 0 m (height)
%
Time (utc),MSNB_S Wind speed (m/s),MSNB_S Wind speed (m/s) quality,MSNB_S Rain (day) (m),MSNB_S Rain (day) (m) quality
2024-04-06 14:30,4.78,good,0.00,not evaluated
2024-04-06 14:36,5.26,good,0.00,not evaluated
2024-04-06 14:42,4.82,good,0.00,not evaluated
2024-04-06 14:48,5.11,good,0.00,not evaluated
2024-04-06 14:54,4.84,good,0.00,not evaluated
2024-04-06 15:00,4.30,good,0.00,not evaluated
2024-04-06 15:06,5.51,good,0.00,not evaluated
2024-04-06 15:12,4.40,good,0.00,not evaluated
2024-04-06 15:18,5.48,good,0.00,not evaluated
2024-04-06 15:24,5.02,good,0.00,not evaluated
2024-04-06 15:30,4.69,good,0.00,not evaluated
2024-04-06 15:36,5.05,good,0.00,not evaluated
2024-04-06 15:42,5.79,good,0.00,not evaluated
2024-04-06 15:48,3.21,good,0.00,not evaluated
2024-04-06 15:54,5.10,good,0.00,not evaluated
2024-04-06 16:00,3.35,good,0.00,not evaluated
2024-04-06 16:06,4.64,good,0.00,not evaluated
2024-04-06 16:12,5.19,good,0.00,not evaluated
2024-04-06 16:18,6.16,good,0.00,not evaluated
2024-04-06 16:24,4.48,good,0.00,not evaluated
2024-04-06 16:30,4.85,good,0.00,not evaluated
2024-04-06 16:36,5.12,good,0.00,not evaluated
2024-04-06 16:42,5.77,good,0.00,not evaluated
2024-04-06 16:48,5.18,good,0.00,not evaluated
2024-04-06 16:54,4.30,good,0.00,not evaluated
2024-04-06 17:00,5.79,good,0.00,not evaluated
2024-04-06 17:06,5.02,good,0.00,not evaluated
2024-04-06 17:12,5.03,good,0.00,not evaluated
2024-04-06 17:18,3.59,good,0.00,not evaluated
2024-04-06 17:24,4.10,good,0.00,not evaluated
2024-04-06 17:30,5.33,good,0.00,not evaluated
2024-04-06 17:36,4.65,good,0.00,not evaluated
2024-04-06 17:42,5.41,good,0.00,not evaluated
2024-04-06 17:48,4.62,good,0.00,not evaluated
2024-04-06 17:54,5.61,good,0.00,not evaluated
2024-04-06 18:00,3.94,good,0.00,not evaluated
2024-04-06 18:06,4.61,good,0.00,not evaluated
2024-04-06 18:12,4.86,good,0.00,not evaluated
2024-04-06 18:18,4.50,good,0.00,not evaluated
2024-04-06 18:24,3.54,good,0.00,not evaluated
2024-04-06 18:30,5.55,good,0.00,not evaluated
2024-04-06 18:36,4.18,good,0.00,not evaluated
2024-04-06 18:42,1.79,good,0.00,not evaluated
2024-04-06 18:48,3.94,good,0.00,not evaluated
2024-04-06 18:54,5.30,good,0.00,not evaluated
2024-04-06 19:00,5.18,good,0.00,not evaluated
2024-04-06 19:06,3.83,good,0.00,not evaluated
2024-04-06 19:12,3.56,good,0.00,not evaluated
2024-04-06 19:18,3.99,good,0.00,not evaluated
2024-04-06 19:24,4.38,good,0.00,not evaluated
2024-04-06 19:30,2.74,good,0.00,not evaluated
2024-04-06 19:36,4.76,good,0.00,not evaluated
2024-04-06 19:42,5.31,good,0.00,not evaluated
2024-04-06 19:48,2.90,good,0.00,not evaluated
2024-04-06 19:54,3.59,good,0.00,not evaluated
2024-04-06 20:00,5.03,good,0.00,not evaluated
2024-04-06 20:06,3.95,good,0.00,not evaluated
2024-04-06 20:12,3.91,good,0.00,not evaluated
2024-04-06 20:18,4.10,good,0.00,not evaluated
2024-04-06 20:24,4.20,good,0.00,not evaluated
2024-04-06 20:30,4.19,good,0.00,not evaluated
2024-04-06 20:36,4.08,good,0.00,not evaluated
2024-04-06 20:42,3.03,good,0.00,not evaluated
2024-04-06 20:48,4.36,good,0.00,not evaluated
2024-04-06 20:54,2.49,good,0.00,not evaluated
2024-04-06 21:00,3.16,good,0.00,not evaluated
2024-04-06 21:06,3.33,good,0.00,not evaluated
2024-04-06 21:12,3.37,good,0.00,not evaluated
2024-04-06 21:18,3.65,good,0.00,not evaluated
2024-04-06 21:24,2.32,good,0.00,not evaluated
2024-04-06 21:30,3.58,good,0.00,not evaluated
2024-04-06 21:36,4.63,good,0.00,not evaluated
2024-04-06 21:42,3.89,good,0.00,not evaluated
2024-04-06 21:48,3.82,good,0.00,not evaluated
2024-04-06 21:54,4.64,good,0.00,not evaluated
2024-04-06 22:00,4.06,good,0.00,not evaluated
2024-04-06 22:06,4.83,good,0.00,not evaluated
2024-04-06 22:12,3.48,good,0.00,not evaluated
2024-04-06 22:18,4.89,good,0.00,not evaluated
2024-04-06 22:24,4.65,good,0.00,not evaluated
2024-04-06 22:30,3.18,good,0.00,not evaluated
2024-04-06 22:36,4.16,good,0.00,not evaluated
2024-04-06 22:42,3.88,good,0.00,not evaluated
2024-04-06 22:48,4.04,good,0.00,not evaluated
2024-04-06 22:54,4.07,good,0.00,not evaluated
2024-04-06 23:00,3.20,good,0.00,not evaluated
2024-04-06 23:06,2.87,good,0.00,not evaluated
2024-04-06 23:12,2.55,good,0.00,not evaluated
2024-04-06 23:18,2.67,good,0.00,not evaluated
2024-04-06 23:24,2.25,good,0.00,not evaluated
2024-04-06 23:30,2.31,good,0.00,not evaluated
2024-04-06 23:36,2.17,good,0.00,not evaluated
2024-04-06 23:42,2.52,good,0.00,not evaluated
2024-04-06 23:48,1.97,good,0.00,not evaluated
2024-04-06 23:54,2.08,good,0.00,not evaluated
2024-04-07 00:00,1.93,good,0.00,not evaluated
2024-04-07 00:06,1.29,good,0.00,not evaluated
2024-04-07 00:12,1.66,good,0.00,not evaluated
2024-04-07 00:18,1.58,good,0.00,not evaluated
2024-04-07 00:24,1.36,good,0.00,not evaluated
2024-04-07 00:30,1.17,good,0.00,not evaluated
2024-04-07 00:36,0.69,good,0.00,not evaluated
2024-04-07 00:42,0.65,good,0.00,not evaluated
2024-04-07 00:48,0.72,good,0.00,not evaluated
2024-04-07 00:54,1.26,good,0.00,not evaluated
2024-04-07 01:00,1.23,good,0.00,not evaluated
2024-04-07 01:06,1.06,good,0.00,not evaluated
2024-04-07 01:12,1.48,good,0.00,not evaluated
2024-04-07 01:18,1.20,good,0.00,not evaluated
2024-04-07 01:24,1.04,good,0.00,not evaluated
2024-04-07 01:30,0.90,good,0.00,not evaluated
2024-04-07 01:36,1.15,good,0.00,not evaluated
2024-04-07 01:42,1.07,good,0.00,not evaluated
2024-04-07 01:48,1.28,good,0.00,not evaluated
2024-04-07 01:54,1.45,good,0.00,not evaluated
2024-04-07 02:00,1.29,good,0.00,not evaluated
2024-04-07 02:06,1.46,good,0.00,not evaluated
2024-04-07 02:12,1.38,good,0.00,not evaluated
2024-04-07 02:18,1.28,good,0.00,not evaluated
2024-04-07 02:24,1.15,good,0.00,not evaluated
2024-04-07 02:30,1.08,good,0.00,not evaluated
2024-04-07 02:36,1.11,good,0.00,not evaluated
2024-04-07 02:42,1.04,good,0.00,not evaluated
2024-04-07 02:48,1.20,good,0.00,not evaluated
2024-04-07 02:54,0.95,good,0.00,not evaluated
2024-04-07 03:00,1.01,good,0.00,not evaluated
2024-04-07 03:06,0.98,good,0.00,not evaluated
2024-04-07 03:12,0.92,good,0.00,not evaluated
2024-04-07 03:18,1.17,good,0.00,not evaluated
2024-04-07 03:24,1.38,good,0.00,not evaluated
2024-04-07 03:30,1.30,good,0.00,not evaluated
2024-04-07 03:36,1.19,good,0.00,not evaluated
2024-04-07 03:42,1.37,good,0.00,not evaluated
2024-04-07 03:48,1.20,good,0.00,not evaluated
2024-04-07 03:54,1.14,good,0.00,not evaluated
2024-04-07 04:00,1.40,good,0.00,not evaluated
2024-04-07 04:06,1.39,good,0.00,not evaluated
2024-04-07 04:12,1.35,good,0.00,not evaluated
2024-04-07 04:18,1.37,good,0.00,not evaluated
2024-04-07 04:24,1.56,good,0.00,not evaluated
2024-04-07 04:30,1.27,good,0.00,not evaluated
2024-04-07 04:36,1.37,good,0.00,not evaluated
2024-04-07 04:42,1.58,good,0.00,not evaluated
2024-04-07 04:48,1.47,good,0.00,not evaluated
2024-04-07 04:54,1.39,good,0.00,not evaluated
2024-04-07 05:00,1.48,good,0.00,not evaluated
2024-04-07 05:06,1.79,good,0.00,not evaluated
2024-04-07 05:12,1.57,good,0.00,not evaluated
2024-04-07 05:18,1.60,good,0.00,not evaluated
2024-04-07 05:24,1.75,good,0.00,not evaluated
