%
% SMC-KERR (34.262500 N -77.887700 E)
%
% SMC-KERR Air pressure (mbar) @ 0 m (height)
% SMC-KERR Air temperature (deg C) @ 0 m (height)
% SMC-KERR Salinity (ppt) @ 0 m (depth)
%
Time (utc),SMC-KERR Air pressure (mbar),SMC-KERR Air pressure (mbar) quality,SMC-KERR Air temperature (deg C),SMC-KERR Air temperature (deg C) quality,SMC-KERR Salinity (ppt),SMC-KERR Salinity (ppt) quality
2025-03-12 13:00,1015.54,not evaluated,13.10,not evaluated,0.13,not evaluated
2025-03-12 14:00,1016.23,not evaluated,16.48,not evaluated,0.17,not evaluated
2025-03-12 15:00,1016.27,not evaluated,19.54,not evaluated,0.19,not evaluated
2025-03-12 16:00,1016.06,not evaluated,22.13,not evaluated,0.17,not evaluated
2025-03-12 17:00,1015.71,not evaluated,31.75,not evaluated,0.11,not evaluated
2025-03-12 18:00,1014.73,not evaluated,35.03,not evaluated,0.08,not evaluated
2025-03-12 19:00,1013.87,not evaluated,36.48,not evaluated,0.07,not evaluated
2025-03-12 20:00,1013.54,not evaluated,35.86,not evaluated,0.07,not evaluated
2025-03-12 21:00,1013.29,not evaluated,31.20,not evaluated,0.07,not evaluated
2025-03-12 22:00,1013.53,not evaluated,23.90,not evaluated,0.08,not evaluated
2025-03-12 23:00,1013.91,not evaluated,20.88,not evaluated,0.08,not evaluated
2025-03-13 00:00,1013.88,not evaluated,18.17,not evaluated,0.10,not evaluated
2025-03-13 01:00,1014.32,not evaluated,16.91,not evaluated,0.12,not evaluated
2025-03-13 02:00,1014.94,not evaluated,16.21,not evaluated,0.16,not evaluated
2025-03-13 03:00,1015.12,not evaluated,15.90,not evaluated,0.18,not evaluated
2025-03-13 04:00,1015.20,not evaluated,15.39,not evaluated,0.18,not evaluated
2025-03-13 05:00,1015.11,not evaluated,14.86,not evaluated,0.13,not evaluated
2025-03-13 06:00,1014.84,not evaluated,14.38,not evaluated,0.09,not evaluated
2025-03-13 07:00,1014.54,not evaluated,13.95,not evaluated,0.08,not evaluated
2025-03-13 08:00,1014.25,not evaluated,13.19,not evaluated,0.08,not evaluated
2025-03-13 09:00,1014.07,not evaluated,12.88,not evaluated,0.08,not evaluated
2025-03-13 10:00,1014.44,not evaluated,12.22,not evaluated,0.08,not evaluated
2025-03-13 11:00,1014.66,not evaluated,12.36,not evaluated,0.09,not evaluated
2025-03-13 12:00,1015.00,not evaluated,12.93,not evaluated,0.10,not evaluated
2025-03-13 13:00,1015.10,not evaluated,15.95,not evaluated,0.12,not evaluated
2025-03-13 14:00,1015.83,not evaluated,18.61,not evaluated,0.16,not evaluated
2025-03-13 15:00,1015.53,not evaluated,21.72,not evaluated,0.18,not evaluated
2025-03-13 16:00,1015.52,not evaluated,23.61,not evaluated,0.19,not evaluated
2025-03-13 17:00,1015.52,not evaluated,29.87,not evaluated,0.16,not evaluated
2025-03-13 18:00,1015.16,not evaluated,31.05,not evaluated,0.12,not evaluated
2025-03-13 19:00,1014.34,not evaluated,29.95,not evaluated,0.09,not evaluated
2025-03-13 20:00,1014.31,not evaluated,28.28,not evaluated,0.08,not evaluated
2025-03-13 21:00,1014.67,not evaluated,23.80,not evaluated,0.08,not evaluated
2025-03-13 22:00,1014.70,not evaluated,21.45,not evaluated,0.08,not evaluated
2025-03-13 23:00,1014.95,not evaluated,19.61,not evaluated,0.09,not evaluated
2025-03-14 00:00,1015.03,not evaluated,17.60,not evaluated,0.10,not evaluated
2025-03-14 01:00,1015.28,not evaluated,16.37,not evaluated,0.12,not evaluated
2025-03-14 02:00,1015.46,not evaluated,15.60,not evaluated,0.15,not evaluated
2025-03-14 03:00,1015.77,not evaluated,14.68,not evaluated,0.17,not evaluated
2025-03-14 04:00,1015.95,not evaluated,14.10,not evaluated,0.19,not evaluated
2025-03-14 05:00,1015.81,not evaluated,13.27,not evaluated,0.16,not evaluated
2025-03-14 06:00,1015.89,not evaluated,12.26,not evaluated,0.12,not evaluated
2025-03-14 07:00,1016.05,not evaluated,12.11,not evaluated,0.09,not evaluated
2025-03-14 08:00,1015.90,not evaluated,11.30,not evaluated,0.09,not evaluated
2025-03-14 09:00,1016.22,not evaluated,10.50,not evaluated,0.09,not evaluated
2025-03-14 10:00,1016.63,not evaluated,10.11,not evaluated,0.09,not evaluated
2025-03-14 11:00,1017.26,not evaluated,10.23,not evaluated,0.09,not evaluated
2025-03-14 12:00,1018.25,not evaluated,10.60,not evaluated,0.11,not evaluated
2025-03-14 13:00,1018.81,not evaluated,11.93,not evaluated,0.12,not evaluated
2025-03-14 14:00,1019.67,not evaluated,13.40,not evaluated,0.15,not evaluated
2025-03-14 15:00,1020.23,not evaluated,14.53,not evaluated,0.17,not evaluated
2025-03-14 16:00,1020.18,not evaluated,15.31,not evaluated,0.19,not evaluated
2025-03-14 17:00,1020.55,not evaluated,15.82,not evaluated,0.17,not evaluated
2025-03-14 18:00,1020.60,not evaluated,16.29,not evaluated,0.12,not evaluated
2025-03-14 19:00,1020.25,not evaluated,23.16,not evaluated,0.09,not evaluated
2025-03-14 20:00,1019.46,not evaluated,20.02,not evaluated,0.09,not evaluated
2025-03-14 21:00,1018.99,not evaluated,21.28,not evaluated,0.09,not evaluated
2025-03-14 22:00,1018.21,not evaluated,17.01,not evaluated,0.09,not evaluated
2025-03-14 23:00,1018.63,not evaluated,14.68,not evaluated,0.09,not evaluated
2025-03-15 00:00,1018.83,not evaluated,13.69,not evaluated,0.10,not evaluated
2025-03-15 01:00,1019.98,not evaluated,14.10,not evaluated,0.12,not evaluated
2025-03-15 02:00,1020.22,not evaluated,13.64,not evaluated,0.15,not evaluated
2025-03-15 03:00,1020.07,not evaluated,13.64,not evaluated,0.18,not evaluated
2025-03-15 04:00,1019.83,not evaluated,13.58,not evaluated,0.21,not evaluated
2025-03-15 05:00,1019.03,not evaluated,13.36,not evaluated,0.21,not evaluated
2025-03-15 06:00,1018.81,not evaluated,13.23,not evaluated,0.18,not evaluated
2025-03-15 07:00,1017.81,not evaluated,13.20,not evaluated,0.14,not evaluated
2025-03-15 08:00,1017.46,not evaluated,13.11,not evaluated,0.10,not evaluated
2025-03-15 09:00,1017.65,not evaluated,13.09,not evaluated,0.09,not evaluated
2025-03-15 10:00,1018.56,not evaluated,13.07,not evaluated,0.09,not evaluated
2025-03-15 11:00,1018.56,not evaluated,13.09,not evaluated,0.09,not evaluated
2025-03-15 12:00,1018.93,not evaluated,13.49,not evaluated,0.10,not evaluated
2025-03-15 13:00,1019.77,not evaluated,14.55,not evaluated,0.13,not evaluated
2025-03-15 14:00,1019.91,not evaluated,16.90,not evaluated,0.15,not evaluated
2025-03-15 15:00,1019.83,not evaluated,17.67,not evaluated,0.18,not evaluated
2025-03-15 16:00,1019.90,not evaluated,19.85,not evaluated,0.21,not evaluated
2025-03-15 17:00,1019.82,not evaluated,28.02,not evaluated,0.22,not evaluated
2025-03-15 18:00,1019.37,not evaluated,31.15,not evaluated,0.19,not evaluated
2025-03-15 19:00,1018.86,not evaluated,31.67,not evaluated,0.15,not evaluated
2025-03-15 20:00,1018.19,not evaluated,27.26,not evaluated,0.10,not evaluated
2025-03-15 21:00,1017.41,not evaluated,27.70,not evaluated,0.10,not evaluated
2025-03-15 22:00,1016.83,not evaluated,23.26,not evaluated,0.10,not evaluated
2025-03-15 23:00,1016.74,not evaluated,21.30,not evaluated,0.10,not evaluated
2025-03-16 00:00,1016.83,not evaluated,19.74,not evaluated,0.10,not evaluated
2025-03-16 01:00,1017.34,not evaluated,19.16,not evaluated,0.13,not evaluated
2025-03-16 02:00,1017.43,not evaluated,18.86,not evaluated,0.16,not evaluated
2025-03-16 03:00,1017.88,not evaluated,18.87,not evaluated,0.19,not evaluated
2025-03-16 04:00,1017.25,not evaluated,18.62,not evaluated,0.22,not evaluated
2025-03-16 05:00,1016.97,not evaluated,19.15,not evaluated,0.24,not evaluated
2025-03-16 06:00,1016.44,not evaluated,18.96,not evaluated,0.23,not evaluated
2025-03-16 07:00,1016.17,not evaluated,18.73,not evaluated,0.20,not evaluated
2025-03-16 08:00,1015.39,not evaluated,18.74,not evaluated,0.14,not evaluated
2025-03-16 09:00,1015.36,not evaluated,18.48,not evaluated,0.10,not evaluated
2025-03-16 10:00,1014.68,not evaluated,18.46,not evaluated,0.10,not evaluated
2025-03-16 11:00,1015.26,not evaluated,18.88,not evaluated,0.10,not evaluated
2025-03-16 12:00,1015.67,not evaluated,19.32,not evaluated,0.10,not evaluated
2025-03-16 13:00,1016.02,not evaluated,20.64,not evaluated,0.12,not evaluated
2025-03-16 14:00,1016.38,not evaluated,22.17,not evaluated,0.15,not evaluated
2025-03-16 15:00,1016.20,not evaluated,22.68,not evaluated,0.19,not evaluated
2025-03-16 16:00,1016.25,not evaluated,23.70,not evaluated,0.22,not evaluated
2025-03-16 17:00,1015.21,not evaluated,23.98,not evaluated,0.25,not evaluated
2025-03-16 18:00,1014.07,not evaluated,23.32,not evaluated,0.24,not evaluated
2025-03-16 19:00,1013.30,not evaluated,23.12,not evaluated,0.20,not evaluated
2025-03-16 20:00,1013.19,not evaluated,21.67,not evaluated,0.15,not evaluated
2025-03-16 21:00,1012.76,not evaluated,20.32,not evaluated,0.11,not evaluated
2025-03-16 22:00,1013.29,not evaluated,20.98,not evaluated,0.11,not evaluated
2025-03-16 23:00,1012.78,not evaluated,19.86,not evaluated,0.10,not evaluated
2025-03-17 00:00,1011.95,not evaluated,19.51,not evaluated,0.10,not evaluated
2025-03-17 01:00,1013.66,not evaluated,20.10,not evaluated,0.11,not evaluated
2025-03-17 02:00,1013.25,not evaluated,19.42,not evaluated,0.14,not evaluated
2025-03-17 03:00,1012.50,not evaluated,19.30,not evaluated,0.19,not evaluated
2025-03-17 04:00,1011.95,not evaluated,19.25,not evaluated,0.23,not evaluated
2025-03-17 05:00,1011.37,not evaluated,19.25,not evaluated,0.25,not evaluated
2025-03-17 06:00,1010.87,not evaluated,19.01,not evaluated,0.25,not evaluated
2025-03-17 07:00,1009.89,not evaluated,18.98,not evaluated,0.21,not evaluated
2025-03-17 08:00,1008.06,not evaluated,18.70,not evaluated,0.16,not evaluated
2025-03-17 09:00,1008.38,not evaluated,18.67,not evaluated,0.09,not evaluated
2025-03-17 10:00,1008.20,not evaluated,18.30,not evaluated,0.08,not evaluated
2025-03-17 11:00,1008.60,not evaluated,18.08,not evaluated,0.08,not evaluated
2025-03-17 12:00,1009.18,not evaluated,18.13,not evaluated,0.08,not evaluated
2025-03-17 13:00,1009.57,not evaluated,18.58,not evaluated,0.08,not evaluated
2025-03-17 14:00,1010.12,not evaluated,19.62,not evaluated,0.09,not evaluated
2025-03-17 15:00,1010.80,not evaluated,20.58,not evaluated,0.11,not evaluated
2025-03-17 16:00,1010.68,not evaluated,21.75,not evaluated,0.15,not evaluated
2025-03-17 17:00,1010.47,not evaluated,19.57,not evaluated,0.18,not evaluated
2025-03-17 18:00,1010.60,not evaluated,14.87,not evaluated,0.15,not evaluated
2025-03-17 19:00,1010.39,not evaluated,17.34,not evaluated,0.10,not evaluated
2025-03-17 20:00,1011.16,not evaluated,16.57,not evaluated,0.08,not evaluated
2025-03-17 21:00,1012.24,not evaluated,16.56,not evaluated,0.07,not evaluated
2025-03-17 22:00,1013.57,not evaluated,16.33,not evaluated,0.06,not evaluated
2025-03-17 23:00,1014.35,not evaluated,15.39,not evaluated,0.06,not evaluated
2025-03-18 00:00,1015.17,not evaluated,13.82,not evaluated,0.06,not evaluated
2025-03-18 01:00,1016.06,not evaluated,12.48,not evaluated,0.06,not evaluated
2025-03-18 02:00,1016.80,not evaluated,11.01,not evaluated,0.06,not evaluated
2025-03-18 03:00,1017.37,not evaluated,10.51,not evaluated,0.07,not evaluated
2025-03-18 04:00,1018.20,not evaluated,11.22,not evaluated,0.08,not evaluated
2025-03-18 05:00,1018.48,not evaluated,10.45,not evaluated,0.11,not evaluated
2025-03-18 06:00,1018.95,not evaluated,9.64,not evaluated,0.14,not evaluated
2025-03-18 07:00,1018.82,not evaluated,9.07,not evaluated,0.13,not evaluated
2025-03-18 08:00,1018.70,not evaluated,8.04,not evaluated,0.07,not evaluated
2025-03-18 09:00,1019.21,not evaluated,7.13,not evaluated,0.06,not evaluated
2025-03-18 10:00,1020.02,not evaluated,6.36,not evaluated,0.06,not evaluated
2025-03-18 11:00,1020.88,not evaluated,5.46,not evaluated,0.06,not evaluated
2025-03-18 12:00,1021.36,not evaluated,5.64,not evaluated,0.07,not evaluated
2025-03-18 13:00,1021.83,not evaluated,8.13,not evaluated,0.07,not evaluated
2025-03-18 14:00,1022.83,not evaluated,10.06,not evaluated,0.07,not evaluated
2025-03-18 15:00,1022.69,not evaluated,12.32,not evaluated,0.07,not evaluated
2025-03-18 16:00,1022.61,not evaluated,14.57,not evaluated,0.07,not evaluated
2025-03-18 17:00,1022.29,not evaluated,23.07,not evaluated,0.07,not evaluated
2025-03-18 18:00,1021.22,not evaluated,26.58,not evaluated,0.08,not evaluated
2025-03-18 19:00,1020.26,not evaluated,29.64,not evaluated,0.08,not evaluated
2025-03-18 20:00,1019.95,not evaluated,31.16,not evaluated,0.07,not evaluated
2025-03-18 21:00,1019.57,not evaluated,28.00,not evaluated,0.07,not evaluated
2025-03-18 22:00,1019.50,not evaluated,20.56,not evaluated,0.07,not evaluated
2025-03-18 23:00,1019.62,not evaluated,18.96,not evaluated,0.07,not evaluated
2025-03-19 00:00,1019.63,not evaluated,14.79,not evaluated,0.07,not evaluated
2025-03-19 01:00,1019.71,not evaluated,12.96,not evaluated,0.07,not evaluated
2025-03-19 02:00,1020.10,not evaluated,11.61,not evaluated,0.08,not evaluated
2025-03-19 03:00,1020.18,not evaluated,10.69,not evaluated,0.08,not evaluated
2025-03-19 04:00,1019.75,not evaluated,10.18,not evaluated,0.10,not evaluated
2025-03-19 05:00,1019.36,not evaluated,10.01,not evaluated,0.12,not evaluated
2025-03-19 06:00,1019.12,not evaluated,9.14,not evaluated,0.15,not evaluated
2025-03-19 07:00,1018.76,not evaluated,8.90,not evaluated,0.15,not evaluated
2025-03-19 08:00,1018.68,not evaluated,8.13,not evaluated,0.12,not evaluated
2025-03-19 09:00,1018.76,not evaluated,7.34,not evaluated,0.09,not evaluated
2025-03-19 10:00,1019.03,not evaluated,6.87,not evaluated,0.08,not evaluated
2025-03-19 11:00,1019.53,not evaluated,6.34,not evaluated,0.07,not evaluated
2025-03-19 12:00,1020.10,not evaluated,7.05,not evaluated,0.07,not evaluated
2025-03-19 13:00,1020.10,not evaluated,10.75,not evaluated,0.08,not evaluated
2025-03-19 14:00,1020.22,not evaluated,15.36,not evaluated,0.08,not evaluated
2025-03-19 15:00,1020.11,not evaluated,18.80,not evaluated,0.08,not evaluated
2025-03-19 16:00,1019.68,not evaluated,23.09,not evaluated,0.09,not evaluated
2025-03-19 17:00,1019.76,not evaluated,28.71,not evaluated,0.11,not evaluated
2025-03-19 18:00,1018.83,not evaluated,29.62,not evaluated,0.13,not evaluated
2025-03-19 19:00,1017.93,not evaluated,33.96,not evaluated,0.14,not evaluated
2025-03-19 20:00,1017.07,not evaluated,32.73,not evaluated,0.12,not evaluated
2025-03-19 21:00,1016.86,not evaluated,29.95,not evaluated,0.09,not evaluated
2025-03-19 22:00,1016.85,not evaluated,24.20,not evaluated,0.08,not evaluated
2025-03-19 23:00,1016.92,not evaluated,21.38,not evaluated,0.08,not evaluated
2025-03-20 00:00,1016.42,not evaluated,17.56,not evaluated,0.08,not evaluated
2025-03-20 01:00,1016.69,not evaluated,15.73,not evaluated,0.08,not evaluated
2025-03-20 02:00,1016.69,not evaluated,14.77,not evaluated,0.08,not evaluated
2025-03-20 03:00,1016.43,not evaluated,13.67,not evaluated,0.09,not evaluated
2025-03-20 04:00,1016.12,not evaluated,12.79,not evaluated,0.10,not evaluated
2025-03-20 05:00,1015.26,not evaluated,11.93,not evaluated,0.13,not evaluated
2025-03-20 06:00,1014.91,not evaluated,11.37,not evaluated,0.15,not evaluated
2025-03-20 07:00,1014.16,not evaluated,10.79,not evaluated,0.17,not evaluated
2025-03-20 08:00,1013.30,not evaluated,10.35,not evaluated,0.18,not evaluated
2025-03-20 09:00,1013.00,not evaluated,10.37,not evaluated,0.16,not evaluated
2025-03-20 10:00,1012.97,not evaluated,10.51,not evaluated,0.12,not evaluated
2025-03-20 11:00,1012.60,not evaluated,11.84,not evaluated,0.09,not evaluated
2025-03-20 12:00,1012.77,not evaluated,13.84,not evaluated,0.08,not evaluated
2025-03-20 13:00,1012.70,not evaluated,16.36,not evaluated,0.08,not evaluated
2025-03-20 14:00,1012.33,not evaluated,18.70,not evaluated,0.08,not evaluated
2025-03-20 15:00,1011.94,not evaluated,21.43,not evaluated,0.09,not evaluated
2025-03-20 16:00,1011.20,not evaluated,23.46,not evaluated,0.10,not evaluated
2025-03-20 17:00,1010.81,not evaluated,29.78,not evaluated,0.12,not evaluated
2025-03-20 18:00,1009.08,not evaluated,29.92,not evaluated,0.14,not evaluated
2025-03-20 19:00,1008.06,not evaluated,30.97,not evaluated,0.16,not evaluated
2025-03-20 20:00,1006.66,not evaluated,28.39,not evaluated,0.15,not evaluated
2025-03-20 21:00,1005.42,not evaluated,28.26,not evaluated,0.13,not evaluated
2025-03-20 22:00,1004.29,not evaluated,22.22,not evaluated,0.10,not evaluated
2025-03-20 23:00,1004.56,not evaluated,20.53,not evaluated,0.09,not evaluated
2025-03-21 00:00,1005.04,not evaluated,17.29,not evaluated,0.09,not evaluated
2025-03-21 01:00,1005.45,not evaluated,15.45,not evaluated,0.09,not evaluated
2025-03-21 02:00,1006.30,not evaluated,15.31,not evaluated,0.09,not evaluated
2025-03-21 03:00,1007.74,not evaluated,14.32,not evaluated,0.09,not evaluated
2025-03-21 04:00,1008.21,not evaluated,12.85,not evaluated,0.10,not evaluated
2025-03-21 05:00,1008.50,not evaluated,11.75,not evaluated,0.11,not evaluated
2025-03-21 06:00,1009.23,not evaluated,11.40,not evaluated,0.13,not evaluated
2025-03-21 07:00,1009.67,not evaluated,10.85,not evaluated,0.15,not evaluated
2025-03-21 08:00,1010.25,not evaluated,10.21,not evaluated,0.15,not evaluated
2025-03-21 09:00,1011.10,not evaluated,9.55,not evaluated,0.11,not evaluated
2025-03-21 10:00,1012.38,not evaluated,8.71,not evaluated,0.09,not evaluated
2025-03-21 11:00,1013.83,not evaluated,7.99,not evaluated,0.09,not evaluated
2025-03-21 12:00,1015.13,not evaluated,8.13,not evaluated,0.09,not evaluated
2025-03-21 13:00,1016.00,not evaluated,9.38,not evaluated,0.08,not evaluated
2025-03-21 14:00,1016.84,not evaluated,10.37,not evaluated,0.09,not evaluated
2025-03-21 15:00,1017.30,not evaluated,11.77,not evaluated,0.09,not evaluated
2025-03-21 16:00,1017.85,not evaluated,13.18,not evaluated,0.09,not evaluated
2025-03-21 17:00,1018.22,not evaluated,20.70,not evaluated,0.09,not evaluated
2025-03-21 18:00,1017.58,not evaluated,23.85,not evaluated,0.11,not evaluated
2025-03-21 19:00,1017.28,not evaluated,28.65,not evaluated,0.12,not evaluated
2025-03-21 20:00,1017.11,not evaluated,29.29,not evaluated,0.12,not evaluated
2025-03-21 21:00,1017.00,not evaluated,26.24,not evaluated,0.11,not evaluated
2025-03-21 22:00,1017.15,not evaluated,18.85,not evaluated,0.10,not evaluated
2025-03-21 23:00,1018.07,not evaluated,16.75,not evaluated,0.09,not evaluated
2025-03-22 00:00,1018.20,not evaluated,13.99,not evaluated,0.09,not evaluated
2025-03-22 01:00,1018.80,not evaluated,11.97,not evaluated,0.09,not evaluated
2025-03-22 02:00,1019.20,not evaluated,11.13,not evaluated,0.09,not evaluated
2025-03-22 03:00,1019.35,not evaluated,10.71,not evaluated,0.09,not evaluated
2025-03-22 04:00,1019.19,not evaluated,9.50,not evaluated,0.09,not evaluated
2025-03-22 05:00,1019.15,not evaluated,8.88,not evaluated,0.10,not evaluated
2025-03-22 06:00,1019.08,not evaluated,9.15,not evaluated,0.11,not evaluated
2025-03-22 07:00,1018.45,not evaluated,8.92,not evaluated,0.13,not evaluated
2025-03-22 08:00,1017.93,not evaluated,8.37,not evaluated,0.15,not evaluated
2025-03-22 09:00,1017.84,not evaluated,7.98,not evaluated,0.16,not evaluated
2025-03-22 10:00,1018.01,not evaluated,8.94,not evaluated,0.16,not evaluated
2025-03-22 11:00,1018.32,not evaluated,8.95,not evaluated,0.13,not evaluated
2025-03-22 12:00,1018.49,not evaluated,9.99,not evaluated,0.10,not evaluated
2025-03-22 13:00,1018.73,not evaluated,12.43,not evaluated,0.09,not evaluated
2025-03-22 14:00,1018.72,not evaluated,14.66,not evaluated,0.09,not evaluated
2025-03-22 15:00,1018.18,not evaluated,16.99,not evaluated,0.09,not evaluated
2025-03-22 16:00,1017.63,not evaluated,18.83,not evaluated,0.09,not evaluated
2025-03-22 17:00,1017.53,not evaluated,27.04,not evaluated,0.09,not evaluated
2025-03-22 18:00,1016.74,not evaluated,29.95,not evaluated,0.10,not evaluated
2025-03-22 19:00,1015.58,not evaluated,32.29,not evaluated,0.12,not evaluated
2025-03-22 20:00,1014.99,not evaluated,32.64,not evaluated,0.13,not evaluated
2025-03-22 21:00,1014.74,not evaluated,29.71,not evaluated,0.13,not evaluated
2025-03-22 22:00,1014.87,not evaluated,21.78,not evaluated,0.12,not evaluated
2025-03-22 23:00,1015.51,not evaluated,18.69,not evaluated,0.10,not evaluated
2025-03-23 00:00,1015.76,not evaluated,16.33,not evaluated,0.09,not evaluated
2025-03-23 01:00,1016.49,not evaluated,15.41,not evaluated,0.09,not evaluated
2025-03-23 02:00,1017.10,not evaluated,14.87,not evaluated,0.09,not evaluated
2025-03-23 03:00,1017.64,not evaluated,14.39,not evaluated,0.09,not evaluated
2025-03-23 04:00,1017.71,not evaluated,13.46,not evaluated,0.09,not evaluated
2025-03-23 05:00,1017.69,not evaluated,12.59,not evaluated,0.09,not evaluated
2025-03-23 06:00,1017.77,not evaluated,12.16,not evaluated,0.10,not evaluated
2025-03-23 07:00,1018.08,not evaluated,11.74,not evaluated,0.11,not evaluated
2025-03-23 08:00,1018.23,not evaluated,11.05,not evaluated,0.13,not evaluated
2025-03-23 09:00,1018.85,not evaluated,10.45,not evaluated,0.15,not evaluated
2025-03-23 10:00,1019.59,not evaluated,9.66,not evaluated,0.16,not evaluated
2025-03-23 11:00,1020.68,not evaluated,8.83,not evaluated,0.13,not evaluated
2025-03-23 12:00,1021.60,not evaluated,9.62,not evaluated,0.10,not evaluated
2025-03-23 13:00,1021.87,not evaluated,12.33,not evaluated,0.09,not evaluated
2025-03-23 14:00,1022.44,not evaluated,15.03,not evaluated,0.09,not evaluated
2025-03-23 15:00,1023.06,not evaluated,16.59,not evaluated,0.09,not evaluated
2025-03-23 16:00,1023.15,not evaluated,18.38,not evaluated,0.09,not evaluated
2025-03-23 17:00,1023.39,not evaluated,25.39,not evaluated,0.09,not evaluated
2025-03-23 18:00,1022.72,not evaluated,25.69,not evaluated,0.09,not evaluated
2025-03-23 19:00,1022.37,not evaluated,30.34,not evaluated,0.11,not evaluated
2025-03-23 20:00,1021.78,not evaluated,30.47,not evaluated,0.11,not evaluated
2025-03-23 21:00,1021.11,not evaluated,27.31,not evaluated,0.12,not evaluated
2025-03-23 22:00,1020.56,not evaluated,20.88,not evaluated,0.12,not evaluated
2025-03-23 23:00,1021.26,not evaluated,18.36,not evaluated,0.11,not evaluated
2025-03-24 00:00,1020.66,not evaluated,16.17,not evaluated,0.10,not evaluated
2025-03-24 01:00,1020.54,not evaluated,15.14,not evaluated,0.09,not evaluated
2025-03-24 02:00,1020.77,not evaluated,14.12,not evaluated,0.09,not evaluated
2025-03-24 03:00,1020.08,not evaluated,13.23,not evaluated,0.09,not evaluated
2025-03-24 04:00,1019.36,not evaluated,13.05,not evaluated,0.09,not evaluated
2025-03-24 05:00,1018.70,not evaluated,13.35,not evaluated,0.09,not evaluated
2025-03-24 06:00,1018.19,not evaluated,12.95,not evaluated,0.09,not evaluated
2025-03-24 07:00,1017.78,not evaluated,12.30,not evaluated,0.11,not evaluated
2025-03-24 08:00,1017.09,not evaluated,11.62,not evaluated,0.13,not evaluated
2025-03-24 09:00,1016.88,not evaluated,12.01,not evaluated,0.15,not evaluated
2025-03-24 10:00,1016.68,not evaluated,13.54,not evaluated,0.17,not evaluated
2025-03-24 11:00,1016.68,not evaluated,14.19,not evaluated,0.18,not evaluated
2025-03-24 12:00,1017.11,not evaluated,15.80,not evaluated,0.17,not evaluated
2025-03-24 13:00,1017.45,not evaluated,18.46,not evaluated,0.13,not evaluated
2025-03-24 14:00,1016.77,not evaluated,21.40,not evaluated,0.10,not evaluated
2025-03-24 15:00,1016.72,not evaluated,22.92,not evaluated,0.10,not evaluated
2025-03-24 16:00,1016.33,not evaluated,25.34,not evaluated,0.10,not evaluated
2025-03-24 17:00,1015.89,not evaluated,30.46,not evaluated,0.09,not evaluated
2025-03-24 18:00,1014.89,not evaluated,27.39,not evaluated,0.09,not evaluated
2025-03-24 19:00,1014.18,not evaluated,23.87,not evaluated,0.10,not evaluated
2025-03-24 20:00,1013.71,not evaluated,22.88,not evaluated,0.12,not evaluated
2025-03-24 21:00,1013.19,not evaluated,24.51,not evaluated,0.13,not evaluated
2025-03-24 22:00,1013.18,not evaluated,23.94,not evaluated,0.15,not evaluated
2025-03-24 23:00,1013.61,not evaluated,20.29,not evaluated,0.14,not evaluated
2025-03-25 00:00,1014.23,not evaluated,18.27,not evaluated,0.12,not evaluated
2025-03-25 01:00,1014.32,not evaluated,17.75,not evaluated,0.10,not evaluated
2025-03-25 02:00,1014.66,not evaluated,17.52,not evaluated,0.10,not evaluated
2025-03-25 03:00,1015.21,not evaluated,17.56,not evaluated,0.09,not evaluated
2025-03-25 04:00,1015.37,not evaluated,17.73,not evaluated,0.09,not evaluated
2025-03-25 05:00,1015.26,not evaluated,17.47,not evaluated,0.09,not evaluated
2025-03-25 06:00,1015.58,not evaluated,16.55,not evaluated,0.09,not evaluated
2025-03-25 07:00,1015.59,not evaluated,16.37,not evaluated,0.09,not evaluated
2025-03-25 08:00,1015.63,not evaluated,15.71,not evaluated,0.11,not evaluated
2025-03-25 09:00,1015.89,not evaluated,14.85,not evaluated,0.12,not evaluated
2025-03-25 10:00,1016.63,not evaluated,13.65,not evaluated,0.14,not evaluated
2025-03-25 11:00,1017.71,not evaluated,13.00,not evaluated,0.17,not evaluated
2025-03-25 12:00,1019.09,not evaluated,13.29,not evaluated,0.18,not evaluated
2025-03-25 13:00,1019.40,not evaluated,15.27,not evaluated,0.16,not evaluated
2025-03-25 14:00,1019.65,not evaluated,17.22,not evaluated,0.12,not evaluated
2025-03-25 15:00,1019.56,not evaluated,18.78,not evaluated,0.10,not evaluated
2025-03-25 16:00,1018.90,not evaluated,20.45,not evaluated,0.10,not evaluated
2025-03-25 17:00,1018.68,not evaluated,29.35,not evaluated,0.09,not evaluated
2025-03-25 18:00,1017.62,not evaluated,32.74,not evaluated,0.09,not evaluated
2025-03-25 19:00,1016.88,not evaluated,30.90,not evaluated,0.09,not evaluated
2025-03-25 20:00,1016.41,not evaluated,32.55,not evaluated,0.10,not evaluated
2025-03-25 21:00,1015.73,not evaluated,31.27,not evaluated,0.12,not evaluated
2025-03-25 22:00,1015.73,not evaluated,24.58,not evaluated,0.14,not evaluated
2025-03-25 23:00,1016.11,not evaluated,19.84,not evaluated,0.16,not evaluated
2025-03-26 00:00,1016.77,not evaluated,17.74,not evaluated,0.18,not evaluated
2025-03-26 01:00,1017.41,not evaluated,16.94,not evaluated,0.17,not evaluated
2025-03-26 02:00,1017.12,not evaluated,16.61,not evaluated,0.13,not evaluated
2025-03-26 03:00,1016.73,not evaluated,16.35,not evaluated,0.11,not evaluated
